datestamp	certsIssued	certsActive	fqdnsActive	regDomainsActive
2015-09-12	1	NULL	NULL	NULL
2015-09-17	1	1	NULL	NULL
2015-09-25	3	4	NULL	NULL
2015-09-26	3	7	NULL	NULL
2015-09-27	1	8	NULL	NULL
2015-09-28	1	9	NULL	NULL
2015-09-30	1	10	12	8
2015-10-01	2	12	NULL	NULL
2015-10-05	2	14	NULL	NULL
2015-10-07	1	15	NULL	NULL
2015-10-08	4	19	NULL	NULL
2015-10-09	1	20	NULL	NULL
2015-10-10	3	23	NULL	NULL
2015-10-11	1	24	NULL	NULL
2015-10-12	4	28	NULL	NULL
2015-10-13	3	31	NULL	NULL
2015-10-14	3	34	NULL	NULL
2015-10-15	8	42	NULL	NULL
2015-10-16	4	46	43	15
2015-10-17	1	47	NULL	NULL
2015-10-18	1	48	NULL	NULL
2015-10-19	3	51	NULL	NULL
2015-10-20	7	58	NULL	NULL
2015-10-21	8	66	NULL	NULL
2015-10-22	40	106	NULL	NULL
2015-10-23	45	151	NULL	NULL
2015-10-24	40	191	NULL	NULL
2015-10-25	11	202	NULL	NULL
2015-10-26	107	309	NULL	NULL
2015-10-27	394	703	NULL	NULL
2015-10-28	230	933	NULL	NULL
2015-10-29	288	1221	NULL	NULL
2015-10-30	406	1627	NULL	NULL
2015-10-31	275	1902	NULL	NULL
2015-11-01	156	2058	2373	1398
2015-11-02	132	2190	NULL	NULL
2015-11-03	234	2424	NULL	NULL
2015-11-04	2343	4767	NULL	NULL
2015-11-05	1429	6196	NULL	NULL
2015-11-06	588	6784	NULL	NULL
2015-11-07	493	7277	NULL	NULL
2015-11-08	336	7613	NULL	NULL
2015-11-09	438	8051	NULL	NULL
2015-11-10	1948	9999	NULL	NULL
2015-11-11	945	10944	NULL	NULL
2015-11-12	571	11515	NULL	NULL
2015-11-13	587	12102	NULL	NULL
2015-11-14	370	12472	NULL	NULL
2015-11-15	386	12858	NULL	NULL
2015-11-16	1061	13919	NULL	NULL
2015-11-17	2410	16329	NULL	NULL
2015-11-18	835	17164	NULL	NULL
2015-11-19	547	17711	NULL	NULL
2015-11-20	486	18197	NULL	NULL
2015-11-21	393	18590	NULL	NULL
2015-11-22	310	18900	NULL	NULL
2015-11-23	614	19514	NULL	NULL
2015-11-24	2033	21547	NULL	NULL
2015-11-25	747	22294	NULL	NULL
2015-11-26	485	22779	NULL	NULL
2015-11-27	346	23125	NULL	NULL
2015-11-28	321	23446	NULL	NULL
2015-11-29	309	23755	NULL	NULL
2015-11-30	429	24184	28164	13005
2015-12-01	1625	25809	NULL	NULL
2015-12-02	657	26466	NULL	NULL
2015-12-03	10365	36831	NULL	NULL
2015-12-04	20444	57275	NULL	NULL
2015-12-05	10109	67384	NULL	NULL
2015-12-06	7500	74884	NULL	NULL
2015-12-07	9211	84095	NULL	NULL
2015-12-08	7584	91679	NULL	NULL
2015-12-09	7551	99230	NULL	NULL
2015-12-10	6429	105659	NULL	NULL
2015-12-11	6296	111955	NULL	NULL
2015-12-12	5374	117329	NULL	NULL
2015-12-13	5561	122890	NULL	NULL
2015-12-14	6031	128921	NULL	NULL
2015-12-15	6954	135875	NULL	NULL
2015-12-16	8482	144356	173952	76091
2015-12-17	7444	151800	NULL	NULL
2015-12-18	5932	157732	NULL	NULL
2015-12-19	4446	162178	NULL	NULL
2015-12-20	8171	170349	NULL	NULL
2015-12-21	5608	175957	NULL	NULL
2015-12-22	8767	184724	NULL	NULL
2015-12-23	5916	190640	NULL	NULL
2015-12-24	4102	194739	NULL	NULL
2015-12-25	3351	198087	NULL	NULL
2015-12-26	3473	201559	NULL	NULL
2015-12-27	3970	205528	NULL	NULL
2015-12-28	5498	211026	NULL	NULL
2015-12-29	6036	217061	NULL	NULL
2015-12-30	5279	222338	NULL	NULL
2015-12-31	5774	228112	NULL	NULL
2016-01-01	5726	233838	NULL	NULL
2016-01-02	4652	238490	NULL	NULL
2016-01-03	4695	243183	NULL	NULL
2016-01-04	6410	249593	NULL	NULL
2016-01-05	6291	255883	NULL	NULL
2016-01-06	6345	262224	NULL	NULL
2016-01-07	6452	268675	NULL	NULL
2016-01-08	6275	274947	NULL	NULL
2016-01-09	4416	279362	NULL	NULL
2016-01-10	5496	284854	NULL	NULL
2016-01-11	6485	291336	NULL	NULL
2016-01-12	6597	297930	NULL	NULL
2016-01-13	6297	304219	NULL	NULL
2016-01-14	5911	310126	418202	163202
2016-01-15	5566	315691	NULL	NULL
2016-01-16	4183	319873	NULL	NULL
2016-01-17	4827	324697	NULL	NULL
2016-01-18	5697	330387	NULL	NULL
2016-01-19	5915	336294	NULL	NULL
2016-01-20	6643	342897	NULL	NULL
2016-01-21	7557	350409	NULL	NULL
2016-01-22	6591	356960	NULL	NULL
2016-01-23	6693	363642	NULL	NULL
2016-01-24	5192	368727	NULL	NULL
2016-01-25	6584	374917	NULL	NULL
2016-01-26	6821	381508	NULL	NULL
2016-01-27	28359	409579	NULL	NULL
2016-01-28	9342	418515	NULL	NULL
2016-01-29	14066	432306	NULL	NULL
2016-01-30	15456	447606	1893381	896808
2016-01-31	9972	457446	NULL	NULL
2016-02-01	12738	469950	NULL	NULL
2016-02-02	17945	485552	NULL	NULL
2016-02-03	14651	498774	NULL	NULL
2016-02-04	12468	510654	NULL	NULL
2016-02-05	12385	522546	NULL	NULL
2016-02-06	18077	540287	NULL	NULL
2016-02-07	20227	560076	NULL	NULL
2016-02-08	14529	572657	NULL	NULL
2016-02-09	12722	584434	NULL	NULL
2016-02-10	11444	595307	NULL	NULL
2016-02-11	16144	610864	NULL	NULL
2016-02-12	27174	637668	NULL	NULL
2016-02-13	11351	648633	NULL	NULL
2016-02-14	10763	658335	NULL	NULL
2016-02-15	15619	671544	NULL	NULL
2016-02-16	12569	683278	NULL	NULL
2016-02-17	13897	696628	NULL	NULL
2016-02-18	12578	708720	NULL	NULL
2016-02-19	15257	723584	NULL	NULL
2016-02-20	10523	733797	NULL	NULL
2016-02-21	11584	744767	NULL	NULL
2016-02-22	13950	756684	NULL	NULL
2016-02-23	12868	768805	NULL	NULL
2016-02-24	12034	780354	NULL	NULL
2016-02-25	12550	792558	NULL	NULL
2016-02-26	12891	805128	NULL	NULL
2016-02-27	12808	817627	NULL	NULL
2016-02-28	10327	827525	2316234	1069243
2016-02-29	19962	845862	NULL	NULL
2016-03-01	22779	867984	NULL	NULL
2016-03-02	18890	876509	NULL	NULL
2016-03-03	19189	875254	NULL	NULL
2016-03-04	17555	882700	NULL	NULL
2016-03-05	14129	889329	NULL	NULL
2016-03-06	13976	894094	NULL	NULL
2016-03-07	18263	904773	NULL	NULL
2016-03-08	22280	919502	NULL	NULL
2016-03-09	27097	940170	NULL	NULL
2016-03-10	31963	965837	NULL	NULL
2016-03-11	34934	995397	NULL	NULL
2016-03-12	13043	1002879	NULL	NULL
2016-03-13	11922	1008770	NULL	NULL
2016-03-14	17460	1019276	NULL	NULL
2016-03-15	13955	1024749	2755628	1238906
2016-03-16	14161	1031466	NULL	NULL
2016-03-17	13622	1039156	NULL	NULL
2016-03-18	15316	1050026	NULL	NULL
2016-03-19	14459	1056314	NULL	NULL
2016-03-20	14874	1065580	NULL	NULL
2016-03-21	17109	1073922	NULL	NULL
2016-03-22	50012	1118018	NULL	NULL
2016-03-23	20157	1134073	NULL	NULL
2016-03-24	18311	1149033	NULL	NULL
2016-03-25	16333	1161893	NULL	NULL
2016-03-26	14691	1172614	NULL	NULL
2016-03-27	14312	1181428	NULL	NULL
2016-03-28	15931	1191323	NULL	NULL
2016-03-29	17149	1203193	NULL	NULL
2016-03-30	19490	1216909	NULL	NULL
2016-03-31	23284	1234467	NULL	NULL
2016-04-01	22014	1251829	NULL	NULL
2016-04-02	13127	1260261	NULL	NULL
2016-04-03	13761	1267612	NULL	NULL
2016-04-04	40981	1302302	NULL	NULL
2016-04-05	19323	1315280	3214580	1427274
2016-04-06	18197	1327025	NULL	NULL
2016-04-07	25575	1346325	NULL	NULL
2016-04-08	33962	1375871	NULL	NULL
2016-04-09	15045	1385420	NULL	NULL
2016-04-10	16818	1395753	NULL	NULL
2016-04-11	24098	1413254	NULL	NULL
2016-04-12	28557	1435514	NULL	NULL
2016-04-13	44208	1473811	3831500	1727397
2016-04-14	22437	1490682	NULL	NULL
2016-04-15	29588	1516087	NULL	NULL
2016-04-16	28196	1539456	NULL	NULL
2016-04-17	29531	1563290	NULL	NULL
2016-04-18	27062	1584437	NULL	NULL
2016-04-19	28246	1606040	NULL	NULL
2016-04-20	24905	1623388	NULL	NULL
2016-04-21	31535	1648332	NULL	NULL
2016-04-22	17796	1659435	NULL	NULL
2016-04-23	15676	1669919	NULL	NULL
2016-04-24	46653	1709988	NULL	NULL
2016-04-25	53020	1756187	NULL	NULL
2016-04-26	49037	1776865	NULL	NULL
2016-04-27	40935	1808458	NULL	NULL
2016-04-28	27946	1822338	NULL	NULL
2016-04-29	26802	1833684	4182568	1865534
2016-04-30	32359	1856071	NULL	NULL
2016-05-01	34848	1878181	NULL	NULL
2016-05-02	27757	1887993	NULL	NULL
2016-05-03	76824	1950166	NULL	NULL
2016-05-04	125537	2063235	NULL	NULL
2016-05-05	153096	2203946	NULL	NULL
2016-05-06	150690	2336559	NULL	NULL
2016-05-07	105526	2421858	NULL	NULL
2016-05-08	44562	2451891	NULL	NULL
2016-05-09	52651	2491820	NULL	NULL
2016-05-10	158435	2638811	NULL	NULL
2016-05-11	135041	2757708	NULL	NULL
2016-05-12	98371	2828905	NULL	NULL
2016-05-13	20279	2837833	NULL	NULL
2016-05-14	17081	2844151	NULL	NULL
2016-05-15	17495	2846027	NULL	NULL
2016-05-16	21180	2854638	NULL	NULL
2016-05-17	22967	2863708	NULL	NULL
2016-05-18	23055	2874185	NULL	NULL
2016-05-19	25340	2884268	NULL	NULL
2016-05-20	28639	2902384	NULL	NULL
2016-05-21	18142	2908942	NULL	NULL
2016-05-22	19074	2914066	NULL	NULL
2016-05-23	24062	2925260	NULL	NULL
2016-05-24	24913	2938139	NULL	NULL
2016-05-25	26025	2951614	NULL	NULL
2016-05-26	24324	2963047	NULL	NULL
2016-05-27	25810	2976049	NULL	NULL
2016-05-28	17269	2982991	6439318	2880516
2016-05-29	20201	2983230	NULL	NULL
2016-05-30	25938	2986389	NULL	NULL
2016-05-31	46383	3013882	NULL	NULL
2016-06-01	76049	3070742	6510647	2916569
2016-06-02	99363	3152550	NULL	NULL
2016-06-03	64027	3202448	NULL	NULL
2016-06-04	56928	3245400	NULL	NULL
2016-06-05	47302	3274439	NULL	NULL
2016-06-06	52035	3304194	NULL	NULL
2016-06-07	62963	3340060	NULL	NULL
2016-06-08	53400	3361497	NULL	NULL
2016-06-09	54311	3380874	NULL	NULL
2016-06-10	52469	3420300	NULL	NULL
2016-06-11	45571	3453949	NULL	NULL
2016-06-12	48410	3484899	NULL	NULL
2016-06-13	62263	3533207	7146991	3239585
2016-06-14	106740	3625786	NULL	NULL
2016-06-15	146169	3758333	NULL	NULL
2016-06-16	39284	3782301	NULL	NULL
2016-06-17	28356	3796198	NULL	NULL
2016-06-18	24905	3806229	NULL	NULL
2016-06-19	26939	3816059	NULL	NULL
2016-06-20	34349	3800396	NULL	NULL
2016-06-21	33610	3813849	NULL	NULL
2016-06-22	33229	3828767	NULL	NULL
2016-06-23	37884	3850318	NULL	NULL
2016-06-24	38831	3874458	NULL	NULL
2016-06-25	26827	3886973	NULL	NULL
2016-06-26	29727	3900769	NULL	NULL
2016-06-27	50656	3934276	NULL	NULL
2016-06-28	37363	3952149	NULL	NULL
2016-06-29	30759	3959624	NULL	NULL
2016-06-30	40107	3977717	NULL	NULL
2016-07-01	46301	4010891	NULL	NULL
2016-07-02	33960	4031090	NULL	NULL
2016-07-03	30102	4020211	NULL	NULL
2016-07-04	32714	4033602	NULL	NULL
2016-07-05	37710	4053115	NULL	NULL
2016-07-06	147895	4175435	NULL	NULL
2016-07-07	52345	4193818	NULL	NULL
2016-07-08	33037	4211810	NULL	NULL
2016-07-09	27567	4222559	NULL	NULL
2016-07-10	34840	4233301	NULL	NULL
2016-07-11	45309	4250053	NULL	NULL
2016-07-12	60713	4266558	NULL	NULL
2016-07-13	41027	4285148	NULL	NULL
2016-07-14	32387	4287947	NULL	NULL
2016-07-15	40738	4300489	NULL	NULL
2016-07-16	24345	4295303	7640671	3491205
2016-07-17	31122	4299363	NULL	NULL
2016-07-18	66117	4337234	NULL	NULL
2016-07-19	50002	4362331	NULL	NULL
2016-07-20	36006	4366802	NULL	NULL
2016-07-21	31447	4380453	NULL	NULL
2016-07-22	32755	4397532	NULL	NULL
2016-07-23	3674	4354553	NULL	NULL
2016-07-24	6237	4307770	NULL	NULL
2016-07-25	5156	4263889	NULL	NULL
2016-07-26	26539	4249493	NULL	NULL
2016-07-27	213226	4434773	NULL	NULL
2016-07-28	299513	4707484	7817285	3567956
2016-07-29	123170	4798295	NULL	NULL
2016-07-30	27320	4790767	NULL	NULL
2016-07-31	45821	4808831	NULL	NULL
2016-08-01	94290	4826297	NULL	NULL
2016-08-02	76638	4777398	NULL	NULL
2016-08-03	75745	4700047	NULL	NULL
2016-08-04	71448	4620805	NULL	NULL
2016-08-05	61683	4576962	NULL	NULL
2016-08-06	52643	4585043	NULL	NULL
2016-08-07	63506	4595898	NULL	NULL
2016-08-08	65004	4502467	NULL	NULL
2016-08-09	294630	4662056	NULL	NULL
2016-08-10	80686	4644371	NULL	NULL
2016-08-11	96860	4720952	NULL	NULL
2016-08-12	82734	4786605	NULL	NULL
2016-08-13	93009	4862119	NULL	NULL
2016-08-14	140757	4981696	NULL	NULL
2016-08-15	80753	5039482	NULL	NULL
2016-08-16	65976	5082403	NULL	NULL
2016-08-17	97683	5154746	NULL	NULL
2016-08-18	50521	5176628	NULL	NULL
2016-08-19	42761	5201247	NULL	NULL
2016-08-20	37901	5220074	NULL	NULL
2016-08-21	44907	5240919	NULL	NULL
2016-08-22	47109	5263115	NULL	NULL
2016-08-23	51783	5288873	NULL	NULL
2016-08-24	57474	5322023	NULL	NULL
2016-08-25	47413	5343626	NULL	NULL
2016-08-26	44042	5370399	NULL	NULL
2016-08-27	41409	5391607	NULL	NULL
2016-08-28	45654	5411323	NULL	NULL
2016-08-29	64683	5429623	NULL	NULL
2016-08-30	50376	5403950	8770554	3851068
2016-08-31	65888	5370475	NULL	NULL
2016-09-01	69851	5376299	NULL	NULL
2016-09-02	49817	5369188	NULL	NULL
2016-09-03	39434	5361320	NULL	NULL
2016-09-04	46012	5355297	NULL	NULL
2016-09-05	49018	5341352	NULL	NULL
2016-09-06	48345	5336297	NULL	NULL
2016-09-07	48775	5330761	NULL	NULL
2016-09-08	45401	5323693	NULL	NULL
2016-09-09	50613	5328735	NULL	NULL
2016-09-10	52870	5333195	NULL	NULL
2016-09-11	49450	5320382	NULL	NULL
2016-09-12	51298	5264940	NULL	NULL
2016-09-13	52803	5171574	NULL	NULL
2016-09-14	58550	5171644	9261573	3995101
2016-09-15	60625	5227013	9322521	4038262
2016-09-16	58007	5257492	9373429	4034082
2016-09-17	45470	5272797	9401291	4044331
